(3s, 5s, 8h, Kh, Ah)
(4s, 8s, 9h, Qh, Kd)
(6s, 8c, Ts, Jd, Ah)
(3s, 7d, Tc, Qc, Kc)
(2s, 2c, 5h, 6d, Qs)
(6c, 8s, 9c, 9h, Ac)
(2c, 5c, Js, Kd, As)
(3c, 5c, 7h, Tc, Kd)
(Td, Ts, Qc, Qh, Qd)
(2c, 2s, 3c, 7d, Kc)
(5c, 8s, 8c, Ts, Qs)
(2h, 3d, 5s, Qc, Kh)
(3s, 3d, 6h, Jc, As)
(3s, 7d, Jc, Qh, Ad)
(2h, 8h, 9h, Qh, Qd)
(2s, 2h, 5h, 9c, Kh)
(2c, 3h, 8s, 9c, Qd)
(3s, 7h, 8h, 9h, Ad)
(5s, 6h, 8h, 9s, Jh)
(3h, 5s, 8s, Kh, Ah)
(4c, 5h, 6s, 8s, Jd)
(4h, 7h, 7s, 8c, 9c)
(2s, 5d, Th, Jd, Kd)
(3h, 5c, 5h, Kc, Kh)
(2d, 7s, 9s, Th, Ks)
(3s, 5d, 7d, Th, Qc)
(3d, 4c, 5d, Td, Ad)
(2d, 4h, 6d, 9s, 9h)
(2d, 5h, 6s, Td, As)
(2s, 8s, Qc, Ad, Ah)
(4d, 5d, 7d, 8c, Td)
(7h, 8s, 9h, 9c, Jh)
(2h, 8c, Td, Jc, Kd)
(7d, Js, Qd, Ks, Ac)
(7h, 9d, Js, Ks, Kc)
(2c, 5h, 7c, Th, Jc)
(3h, 7d, 9h, Jh, As)
(2c, 2h, 7s, 8h, Qc)
(4s, 6c, 7c, 8c, Tc)
(6c, 6s, 8s, Ts, Ac)
(2c, 5s, 9d, Ts, Qs)
(4d, 5h, 6c, Jc, Ks)
(3d, 9d, Ts, Kd, Ks)
(4c, 5s, 7c, Qh, Kc)
(3h, 5s, 5c, 5h, Ts)
(5s, 6h, 6c, 9c, Kd)
(2d, 2c, 8h, 9c, Qc)
(4s, 5c, 6d, 7s, Ad)
(2h, 2d, 7h, 7c, 9s)
(7c, 8h, 9d, 9h, Ts)
(2s, 5d, 7d, Qd, As)
(9c, 9s, Ac, Ah, As)
(4s, 5s, 6c, 9s, Th)
(3c, 8d, Kc, Kh, Ac)
(4h, 7s, 8h, Js, Ah)
(4c, 5d, 6h, Tc, Kc)
(4c, 5d, 7h, Jd, Qc)
(2h, 3s, 5d, 6d, 8c)
(8d, 9h, Qd, Kh, Ad)
(8d, 8s, Qd, As, Ah)
(9d, Ts, Qc, Kc, Ac)
(3c, 8s, 9c, Qd, Ks)
(2d, 4h, 9d, Kc, Ah)
(3c, 3d, Td, Qd, Kc)
(2d, 3d, 8h, 9c, Ts)
(3d, Qh, Qc, As, Ad)
(4c, 4h, 9s, Jh, Jd)
(4h, 4s, 5d, 9s, Ks)
(6h, 7h, 8h, Js, Qs)
(5d, 8s, 9s, Kd, Ah)
(2s, 2d, 3h, 5s, As)
(2h, 3d, 3h, 6d, Ah)
(2d, 5h, 5s, 6c, 6s)
(6s, 7d, 9c, 9h, Ad)
(4c, 9c, Qd, Kh, Kc)
(2h, 6c, Js, Jh, Kh)
(7d, 9d, Th, Js, Kd)
(3s, 5s, 6c, 7h, Ad)
(3h, 4d, 9c, Kc, Ad)
(2c, 5d, 6h, Ks, Ad)
(2c, 9s, Js, Kd, Kc)
(5c, 5h, 6s, Ts, Ad)
(4c, 4d, 8s, Jc, Ah)
(7h, 8s, Th, Qc, Kc)
(2s, 3s, 6d, 8d, Qh)
(2s, 6s, 9s, Js, Ah)
(6h, 7c, 8d, Kd, Ac)
(3c, 5c, 6h, 7h, Qc)
(2d, 4h, 4s, Ks, Ac)
(4c, 8d, 9s, Jh, Qc)
(4s, 5c, 7h, 7s, Ts)
