(2d, 7h, Td, Tc, Ts)
(5s, 7c, 8s, 8h, Jc)
(6c, 9h, Tc, Ac, As)
(7s, 8h, Qc, Kc, Ad)
(3s, 3h, 8h, Th, Ts)
(8h, Td, Jd, Jh, As)
(2h, 4c, 8c, 9c, As)
(3h, 6d, 7c, 9d, Qc)
(2d, 3h, 8c, Qd, Kc)
(2c, 3c, 5s, 6s, Qc)
(5c, 7c, 8d, 8h, Ts)
(9s, 9c, Qd, Kh, Kd)
(5d, Jc, Qs, Kh, Ad)
(6h, 6s, 8d, Ks, Ac)
(3c, 5s, 6d, Qd, Qs)
(2s, 5s, 6d, Qs, Ah)
(2h, 3d, 5h, 8c, Qh)
(4c, 5c, 5d, 7h, 9c)
(2c, 4d, 7h, 7s, 9c)
(2h, 5s, 5c, 8c, Tc)
(2s, 4s, 8d, 8s, Ac)
(6c, 7s, Js, Jc, As)
(3d, 9h, Td, Qh, Qs)
(2h, 5c, 7c, Ts, Qd)
(4c, 5c, 6d, 7s, As)
(4d, 6h, 7c, Ts, Ac)
(2c, 7c, 8s, 9s, Ah)
(3c, 3s, 5d, 8d, Ah)
(2d, 3h, 6h, Qd, As)
(4s, 5h, 9s, Tc, Qh)
(2c, 3c, 3h, 8d, Ad)
(5s, 8h, Tc, Td, Ac)
(3d, 4d, 6h, 7c, 8c)
(2h, 2d, 5c, Td, Tc)
(3s, 3c, 3d, 4s, 7c)
(2h, 4d, 5d, Ts, Js)
(6d, 7s, 8d, Kc, Ah)
(3c, 8c, Tc, Jd, Ad)
(2c, 5c, 8d, Js, Qh)
(3s, 4d, 7s, 8c, Ah)
(3c, 4h, 5c, 7d, Ts)
(3h, 6d, 8h, Kd, Ah)
(2h, 4d, Td, Th, Kc)
(3d, 6d, Jd, Qc, Kd)
(2h, 4c, 5s, 6h, 7h)
(3c, 4s, 7s, Qs, Ks)
(2c, Jd, Qh, Qc, As)
(3c, Th, Tc, Jh, Kh)
(3s, 5s, 9s, 9c, Ts)
(6h, 6s, 8c, Jh, Ad)
(2c, 3h, 8h, 9s, Kh)
(7s, 9c, Tc, Qh, Ad)
(2s, 3d, 5s, 7d, Ac)
(2d, 3d, 6c, 9d, Ks)
(4d, 5c, 7d, Ts, Qh)
(2d, 8h, Th, Qd, Ks)
(2h, 6c, Tc, Kh, Kc)
(2d, 4h, 5d, Th, Ts)
(3s, 4s, 7s, 9c, Qs)
(9s, Td, Ts, Qd, Ks)
(7d, 8h, 9s, Tc, Ac)
(4c, 7c, Ts, Kd, Kc)
(2s, 4h, 6c, 9d, Qs)
(3d, 3c, 5h, Jd, Ks)
(2h, 6d, 7s, Qh, Ah)
(3s, 7h, 8h, Qc, Ac)
(2s, 7s, 8d, 9d, Ah)
(3h, 6h, 8h, Qs, Ad)
(5d, 9h, 9c, Js, As)
(2h, 4d, 6h, 6s, 7d)
(2s, 3d, 5h, 7c, Td)
(2d, 3d, 9d, Kh, Ac)
(3d, 6d, Tc, Kh, Kd)
(4s, 5c, 6h, Tc, Kc)
(2h, 3c, 6h, 7d, 7h)
(4d, 6c, 8h, 9s, Ad)
(4d, 5s, 8d, 9c, Jh)
(4s, 5c, 6c, 8h, Ts)
(2c, 3c, 4d, 8s, 8c)
(2d, 4d, 7c, Td, Ah)
(5h, 9s, Js, Qh, Kc)
(2s, 5c, 9s, Jc, Ks)
(3h, 6c, 7h, 9h, Ks)
(2d, 3h, 8d, Tc, As)
(2d, 5s, 6d, Qh, Qd)
(7c, 7d, Ts, Js, Kh)
(4d, 6s, 8d, 9d, Ah)
(2s, 4s, 8s, Ts, Ac)
(3h, 4c, Ts, Qc, Ah)
(2s, 4s, 9c, Js, Qd)
(Jd, Jh, Kh, Ks, Ad)
(2d, 2c, 6d, 7d, 8s)
(3h, 4h, 5h, Jh, Jc)
(4c, 5h, 6h, 9s, Kc)
(2c, 6d, 7h, 8h, Td)
(3s, 4h, 6h, 7h, Qd)
(3c, 6c, Tc, Th, As)
(3h, 7s, 8s, Td, Ad)
(6c, Th, Ks, Kd, As)
